,clientes,dia,poligono,vecinos
BARRIO 12 DE OCTUBRE,860.0,1.0,"[(1063826, 871089), (1063841, 871081), (1063901, 871051), (1063954, 871024), (1063984, 871009), (1064070, 870964), (1064042, 870911), (1064019, 870865), (1063994, 870818), (1063988, 870806), (1063925, 870683), (1063922, 870678), (1063927, 870676), (1063934, 870671), (1063937, 870669), (1063935, 870667), (1063917, 870645), (1063905, 870632), (1063900, 870626), (1063887, 870612), (1063884, 870608), (1063864, 870584), (1063847, 870565), (1063800, 870514), (1063790, 870524), (1063769, 870550), (1063746, 870575), (1063733, 870596), (1063709, 870621), (1063666, 870666), (1063651, 870679), (1063627, 870704), (1063633, 870716), (1063643, 870735), (1063665, 870776), (1063685, 870815), (1063708, 870859), (1063744, 870930), (1063751, 870944), (1063773, 870985), (1063793, 871025), (1063819, 871076), (1063825, 871089), (1063826, 871089)]","['BARRIO EDUARDO SANTOS', 'BARRIO JULIO RINCON', 'BARRIO LOS CONQUISTADORES', 'BARRIO SAN PEDRO CLAVER', 'BARRIO SINDICAL']"
BARRIO 20 DE JULIO,575.0,1.0,"[(1062733, 871782), (1062798, 871701), (1062821, 871661), (1062833, 871645), (1062837, 871641), (1062854, 871618), (1062866, 871604), (1062915, 871555), (1062974, 871494), (1062879, 871376), (1062863, 871388), (1062837, 871407), (1062825, 871416), (1062811, 871428), (1062798, 871438), (1062764, 871465), (1062749, 871477), (1062719, 871500), (1062703, 871514), (1062680, 871531), (1062670, 871538), (1062643, 871559), (1062629, 871569), (1062594, 871596), (1062586, 871604), (1062576, 871613), (1062543, 871639), (1062528, 871650), (1062492, 871677), (1062415, 871731), (1062415, 871731), (1062445, 871736), (1062529, 871747), (1062594, 871756), (1062623, 871761), (1062640, 871763), (1062663, 871767), (1062706, 871776), (1062733, 871782)]","['BARRIO ALFONSO BARBERENA', 'BARRIO EL PRADO', 'BARRIO PRADOS DE ORIENTE', 'BARRIO PRIMITIVO CRESPO', 'BARRIO SANTA MONICA POPULAR', 'BARRIO URIBE URIBE', 'BARRIO VILLANUEVA']"
BARRIO 3 DE JULIO,495.0,3.0,"[(1059828, 870878), (1059809, 870905), (1059795, 870924), (1059769, 870960), (1059760, 870972), (1059722, 871026), (1059703, 871052), (1059695, 871062), (1059638, 871139), (1059630, 871150), (1059573, 871226), (1059550, 871255), (1059533, 871278), (1059519, 871296), (1059511, 871304), (1059488, 871323), (1059447, 871352), (1059441, 871356), (1059617, 871589), (1059625, 871600), (1059668, 871655), (1059677, 871666), (1059708, 871706), (1059717, 871719), (1059722, 871724), (1059783, 871796), (1059797, 871811), (1059803, 871818), (1059879, 871901), (1059871, 871874), (1059871, 871849), (1059873, 871837), (1059875, 871821), (1059876, 871816), (1059875, 871802), (1059874, 871784), (1059872, 871744), (1059872, 871726), (1059868, 871642), (1059867, 871630), (1059864, 871548), (1059863, 871534), (1059859, 871430), (1059858, 871416), (1059855, 871345), (1059854, 871331), (1059851, 871263), (1059851, 871250), (1059844, 871106), (1059843, 871094), (1059839, 870990), (1059838, 870978), (1059835, 870936), (1059834, 870917), (1059833, 870908), (1059828, 870878)]","['BARRIO ALAMEDA', 'BARRIO EL CEDRO', 'BARRIO EUCARISTICO', 'BARRIO MIRAFLORES', 'BARRIO NUEVO SAN FERNANDO', 'BARRIO SAN FERNANDO VIEJO']"
BARRIO ACUEDUCTO SAN ANTONIO,3.0,2.0,"[(1059368, 873103), (1059379, 873036), (1059381, 873032), (1059384, 873032), (1059411, 873037), (1059422, 873039), (1059436, 873043), (1059487, 873055), (1059498, 873058), (1059501, 873059), (1059509, 873060), (1059517, 873062), (1059526, 873063), (1059532, 873063), (1059537, 873062), (1059542, 873062), (1059554, 873058), (1059561, 873056), (1059565, 873053), (1059571, 873051), (1059578, 873046), (1059630, 873012), (1059643, 873002), (1059652, 872995), (1059655, 872993), (1059659, 872988), (1059678, 872966), (1059700, 872933), (1059692, 872892), (1059629, 872900), (1059615, 872902), (1059535, 872913), (1059517, 872915), (1059508, 872915), (1059498, 872914), (1059479, 872914), (1059461, 872915), (1059447, 872914), (1059439, 872913), (1059433, 872912), (1059430, 872912), (1059425, 872910), (1059424, 872910), (1059422, 872908), (1059421, 872906), (1059419, 872904), (1059419, 872901), (1059417, 872891), (1059417, 872889), (1059416, 872886), (1059415, 872879), (1059415, 872873), (1059414, 872867), (1059413, 872854), (1059412, 872838), (1059407, 872781), (1059405, 872760), (1059403, 872749), (1059400, 872728), (1059399, 872704), (1059399, 872684), (1059398, 872638), (1059398, 872632), (1059395, 872620), (1059390, 872618), (1059385, 872620), (1059384, 872619), (1059362, 872626), (1059345, 872592), (1059343, 872588), (1059338, 872590), (1059334, 872592), (1059325, 872595), (1059316, 872597), (1059306, 872599), (1059295, 872602), (1059287, 872604), (1059272, 872606), (1059260, 872607), (1059247, 872607), (1059241, 872608), (1059235, 872608), (1059231, 872610), (1059227, 872611), (1059224, 872612), (1059222, 872613), (1059183, 872642), (1059180, 872643), (1059177, 872645), (1059168, 872645), (1059164, 872644), (1059156, 872638), (1059149, 872631), (1059143, 872627), (1059135, 872622), (1059127, 872618), (1059124, 872617), (1059117, 872615), (1059104, 872614), (1059097, 872615), (1059081, 872618), (1059062, 872622), (1059027, 872629), (1059011, 872634), (1058981, 872640), (1058972, 872641), (1058964, 872642), (1058959, 872643), (1058954, 872645), (1058948, 872647), (1058943, 872649), (1058921, 872660), (1058917, 872661), (1058896, 872661), (1058892, 872660), (1058885, 872659), (1058881, 872658), (1058878, 872657), (1058873, 872654), (1058868, 872652), (1058865, 872649), (1058863, 872648), (1058858, 872643), (1058856, 872642), (1058855, 872642), (1058850, 872641), (1058833, 872641), (1058831, 872640), (1058827, 872639), (1058821, 872635), (1058820, 872634), (1058818, 872632), (1058817, 872629), (1058816, 872627), (1058816, 872622), (1058818, 872614), (1058819, 872611), (1058823, 872605), (1058832, 872594), (1058837, 872588), (1058847, 872577), (1058854, 872569), (1058856, 872565), (1058857, 872562), (1058858, 872558), (1058859, 872553), (1058858, 872536), (1058850, 872539), (1058846, 872539), (1058841, 872538), (1058838, 872537), (1058837, 872536), (1058833, 872535), (1058828, 872532), (1058805, 872513), (1058796, 872545), (1058788, 872564), (1058787, 872566), (1058786, 872568), (1058785, 872573), (1058782, 872579), (1058776, 872590), (1058753, 872627), (1058749, 872635), (1058747, 872641), (1058745, 872648), (1058745, 872655), (1058744, 872661), (1058744, 872669), (1058745, 872677), (1058746, 872685), (1058748, 872694), (1058751, 872702), (1058754, 872707), (1058759, 872715), (1058763, 872722), (1058768, 872727), (1058781, 872739), (1058788, 872744), (1058795, 872748), (1058803, 872751), (1058810, 872754), (1058817, 872756), (1058822, 872756), (1058833, 872758), (1058843, 872759), (1058855, 872760), (1058862, 872761), (1058874, 872762), (1058878, 872763), (1058917, 872767), (1059023, 872781), (1059034, 872788), (1059038, 872791), (1059042, 872794), (1059046, 872799), (1059050, 872807), (1059055, 872815), (1059056, 872826), (1059056, 872836), (1059054, 872850), (1059054, 872870), (1059058, 872881), (1059060, 872886), (1059062, 872892), (1059066, 872898), (1059075, 872912), (1059077, 872915), (1059083, 872925), (1059085, 872930), (1059086, 872935), (1059087, 872941), (1059086, 872945), (1059086, 872951), (1059084, 872957), (1059083, 872959), (1059081, 872964), (1059075, 872974), (1059065, 872982), (1059060, 872985), (1059052, 872989), (1059046, 872991), (1059035, 872995), (1059017, 873001), (1059009, 873009), (1059005, 873015), (1059002, 873025), (1059002, 873029), (1059003, 873035), (1059007, 873043), (1059007, 873044), (1059010, 873047), (1059014, 873050), (1059017, 873053), (1059021, 873055), (1059026, 873057), (1059032, 873058), (1059043, 873058), (1059067, 873059), (1059094, 873059), (1059107, 873060), (1059119, 873062), (1059129, 873063), (1059153, 873067), (1059178, 873072), (1059186, 873073), (1059205, 873078), (1059215, 873071), (1059224, 873065), (1059230, 873061), (1059233, 873059), (1059238, 873057), (1059243, 873056), (1059247, 873055), (1059257, 873055), (1059263, 873056), (1059269, 873058), (1059279, 873061), (1059288, 873065), (1059291, 873066), (1059327, 873083), (1059364, 873101), (1059368, 873103)]","['BARRIO ARBOLEDA', 'BARRIO BELLAVISTA', 'BARRIO EL MORTINAL', 'BARRIO EL NACIONAL', 'BARRIO EL PE_ON', 'BARRIO NAVARRO- LA CHANCA', 'BARRIO SAN ANTONIO', 'BARRIO SAN CAYETANO', 'BARRIO SANTA BARBARA', 'BARRIO SANTA TERESITA']"
BARRIO AGUABLANCA,1344.0,7.0,"[(1062280, 871491), (1062296, 871487), (1062315, 871480), (1062356, 871473), (1062370, 871471), (1062372, 871461), (1062373, 871457), (1062374, 871452), (1062375, 871449), (1062375, 871449), (1062373, 871429), (1062373, 871423), (1062376, 871409), (1062369, 871353), (1062369, 871344), (1062368, 871338), (1062368, 871336), (1062364, 871299), (1062358, 871246), (1062356, 871230), (1062354, 871205), (1062351, 871176), (1062343, 871122), (1062343, 871103), (1062339, 871063), (1062336, 871043), (1062334, 871018), (1062329, 870968), (1062326, 870927), (1062325, 870913), (1062308, 870915), (1062227, 870923), (1062152, 870931), (1062132, 870934), (1062083, 870939), (1061976, 870951), (1061954, 870954), (1061937, 870955), (1061929, 870956), (1061958, 871222), (1061961, 871260), (1061967, 871279), (1061969, 871292), (1061974, 871316), (1061975, 871326), (1061992, 871474), (1061994, 871491), (1062002, 871560), (1062007, 871590), (1062012, 871633), (1062039, 871613), (1062047, 871613), (1062081, 871611), (1062098, 871605), (1062116, 871595), (1062129, 871584), (1062162, 871547), (1062201, 871502), (1062219, 871485), (1062247, 871470), (1062256, 871467), (1062263, 871485), (1062266, 871485), (1062272, 871496), (1062274, 871495), (1062280, 871491)]","['BARRIO EL JARDIN', 'BARRIO EL PRADO', 'BARRIO EL RECUERDO', 'BARRIO LAS ACACIAS', 'BARRIO PRADOS DE ORIENTE', 'BARRIO PRIMITIVO CRESPO', 'BARRIO SAN CRISTOBAL', 'BARRIO SANTA ELENA', 'BARRIO SANTA MONICA BELALCAZAR']"
BARRIO AGUACATAL,2626.0,7.0,"[(1056915, 873714), (1056907, 873716), (1056869, 873749), (1056859, 873756), (1056835, 873755), (1056789, 873760), (1056772, 873760), (1056741, 873768), (1056707, 873773), (1056690, 873771), (1056668, 873767), (1056646, 873774), (1056617, 873797), (1056588, 873822), (1056573, 873824), (1056546, 873814), (1056527, 873809), (1056518, 873807), (1056491, 873799), (1056481, 873804), (1056464, 873811), (1056441, 873815), (1056432, 873818), (1056414, 873826), (1056388, 873836), (1056372, 873848), (1056360, 873861), (1056358, 873879), (1056361, 873885), (1056387, 873907), (1056399, 873920), (1056403, 873929), (1056405, 873939), (1056402, 873952), (1056391, 873961), (1056381, 873964), (1056348, 873977), (1056357, 873990), (1056381, 873983), (1056395, 873983), (1056424, 873983), (1056442, 873975), (1056478, 873934), (1056485, 873924), (1056491, 873916), (1056528, 873923), (1056560, 873946), (1056572, 873955), (1056594, 873978), (1056597, 873985), (1056602, 874014), (1056601, 874027), (1056615, 874044), (1056620, 874041), (1056636, 874024), (1056645, 874012), (1056661, 873975), (1056663, 873967), (1056683, 873952), (1056720, 873971), (1056728, 873974), (1056752, 873974), (1056762, 873968), (1056759, 873937), (1056764, 873905), (1056782, 873906), (1056850, 873911), (1056882, 873912), (1056917, 873905), (1056952, 873885), (1056976, 873875), (1057027, 873870), (1057076, 873871), (1057106, 873857), (1057132, 873863), (1057144, 873865), (1057159, 873870), (1057168, 873898), (1057165, 873909), (1057156, 873924), (1057132, 873953), (1057113, 873971), (1057108, 873989), (1057110, 874017), (1057132, 874055), (1057142, 874077), (1057156, 874113), (1057171, 874138), (1057194, 874158), (1057214, 874176), (1057245, 874194), (1057262, 874204), (1057278, 874219), (1057284, 874237), (1057290, 874254), (1057313, 874282), (1057348, 874319), (1057378, 874376), (1057393, 874414), (1057348, 874449), (1057315, 874477), (1057296, 874490), (1057310, 874527), (1057333, 874557), (1057393, 874634), (1057423, 874682), (1057418, 874728), (1057412, 874759), (1057588, 874757), (1057591, 874735), (1057604, 874715), (1057635, 874701), (1057669, 874698), (1057713, 874713), (1057748, 874746), (1057769, 874751), (1057779, 874743), (1057802, 874722), (1057828, 874688), (1057840, 874674), (1057866, 874647), (1057889, 874615), (1057896, 874603), (1057916, 874570), (1057923, 874558), (1057941, 874534), (1057958, 874520), (1057980, 874512), (1058038, 874532), (1058080, 874541), (1058106, 874544), (1058118, 874541), (1058132, 874509), (1058362, 874458), (1058430, 874441), (1058463, 874497), (1058545, 874520), (1058598, 874519), (1058653, 874496), (1058611, 874374), (1058611, 874319), (1058628, 874249), (1058648, 874241), (1058666, 874267), (1058700, 874218), (1058719, 874190), (1058791, 874091), (1058830, 874031), (1058851, 873948), (1058847, 873944), (1058844, 873940), (1058839, 873936), (1058802, 873922), (1058796, 873922), (1058785, 873921), (1058773, 873916), (1058793, 873890), (1058816, 873859), (1058838, 873830), (1058841, 873821), (1058841, 873813), (1058840, 873805), (1058835, 873798), (1058832, 873791), (1058816, 873782), (1058797, 873805), (1058778, 873823), (1058759, 873842), (1058737, 873868), (1058732, 873876), (1058726, 873892), (1058709, 873891), (1058677, 873879), (1058663, 873891), (1058643, 873904), (1058602, 873925), (1058553, 873912), (1058492, 873902), (1058446, 873901), (1058388, 873900), (1058302, 873897), (1058287, 873898), (1058226, 873896), (1058201, 873895), (1058148, 873894), (1058019, 873890), (1057957, 873889), (1057879, 873886), (1057843, 873886), (1057805, 873885), (1057713, 873883), (1057645, 873893), (1057622, 873866), (1057588, 873847), (1057584, 873841), (1057580, 873837), (1057565, 873803), (1057528, 873804), (1057486, 873817), (1057471, 873821), (1057440, 873830), (1057429, 873833), (1057414, 873831), (1057395, 873822), (1057387, 873816), (1057367, 873798), (1057335, 873783), (1057324, 873787), (1057287, 873802), (1057270, 873803), (1057253, 873793), (1057228, 873762), (1057223, 873755), (1057205, 873744), (1057198, 873740), (1057176, 873735), (1057161, 873737), (1057148, 873736), (1057137, 873733), (1057114, 873723), (1057101, 873721), (1057092, 873723), (1057059, 873731), (1057041, 873729), (1056996, 873723), (1056955, 873719), (1056915, 873714)]","['BARRIO NORMANDIA', 'BARRIO SANTA RITA', 'BARRIO SANTA TERESITA', 'BARRIO TERRON COLORADO']"
BARRIO ALAMEDA,997.0,3.0,"[(1059936, 871962), (1059989, 872019), (1060075, 872128), (1060169, 872213), (1060199, 872237), (1060281, 872281), (1060366, 872324), (1060355, 872234), (1060350, 872212), (1060338, 872168), (1060333, 872149), (1060340, 872109), (1060342, 872100), (1060356, 872007), (1060357, 872004), (1060360, 872000), (1060367, 872007), (1060450, 872007), (1060479, 872006), (1060518, 872006), (1060514, 871996), (1060486, 871901), (1060480, 871881), (1060457, 871808), (1060451, 871789), (1060433, 871727), (1060429, 871711), (1060417, 871672), (1060413, 871658), (1060402, 871621), (1060394, 871600), (1060377, 871540), (1060374, 871529), (1060360, 871482), (1060359, 871478), (1060354, 871483), (1060302, 871535), (1060296, 871540), (1060254, 871574), (1060241, 871587), (1060228, 871598), (1060195, 871629), (1060175, 871647), (1060140, 871681), (1060115, 871703), (1060058, 871756), (1060049, 871764), (1060032, 871781), (1059986, 871823), (1059972, 871835), (1059886, 871909), (1059896, 871920), (1059904, 871928), (1059907, 871932), (1059927, 871952), (1059936, 871962)]","['BARRIO 3 DE JULIO', 'BARRIO BRETA_A', 'BARRIO CHAMPAGNAT', 'BARRIO EL CEDRO', 'BARRIO LOS LIBERTADORES', 'BARRIO MIRAFLORES', 'BARRIO SAN JUAN BOSCO', 'BARRIO URB. COLSEGUROS']"
BARRIO ALCAZARES,3233.0,12.0,"[(1065147, 877087), (1065136, 877094), (1065122, 877102), (1065103, 877111), (1065087, 877118), (1065072, 877124), (1065056, 877130), (1065026, 877140), (1065010, 877145), (1064996, 877149), (1064969, 877156), (1064846, 877185), (1064785, 877208), (1064757, 877221), (1064729, 877231), (1064703, 877240), (1064699, 877245), (1064726, 877296), (1064764, 877379), (1064792, 877442), (1064798, 877451), (1064804, 877462), (1064812, 877474), (1064820, 877486), (1064861, 877553), (1064870, 877568), (1064877, 877578), (1064883, 877588), (1064884, 877589), (1064901, 877612), (1064918, 877631), (1064925, 877638), (1064979, 877693), (1065016, 877724), (1065058, 877754), (1065105, 877721), (1065109, 877705), (1065115, 877696), (1065133, 877663), (1065137, 877655), (1065179, 877580), (1065196, 877549), (1065202, 877539), (1065235, 877480), (1065242, 877468), (1065250, 877454), (1065290, 877382), (1065296, 877370), (1065303, 877358), (1065375, 877228), (1065379, 877221), (1065386, 877209), (1065385, 877208), (1065376, 877203), (1065329, 877176), (1065316, 877169), (1065297, 877158), (1065289, 877154), (1065265, 877139), (1065242, 877122), (1065232, 877113), (1065220, 877103), (1065193, 877082), (1065179, 877070), (1065175, 877066), (1065172, 877069), (1065147, 877087)]","['BARRIO CALIMA', 'BARRIO FONAVIEMCALI', 'BARRIO METROPOLITANO DEL NORTE', 'BARRIO PASO DEL COMERCIO', 'BARRIO PUENTE DEL COMERCIO', 'BARRIO SAN LUIS II']"
BARRIO ALFEREZ REAL CAMILO TORRES,1679.0,4.0,"[(1059090, 866179), (1059092, 866185), (1059081, 866276), (1059076, 866310), (1059072, 866320), (1059068, 866354), (1059061, 866412), (1059059, 866422), (1059054, 866471), (1059049, 866515), (1059048, 866522), (1058984, 866528), (1058928, 866531), (1058880, 866535), (1058875, 866536), (1058865, 866537), (1058787, 866543), (1058782, 866544), (1058686, 866552), (1058661, 866555), (1058607, 866559), (1058524, 866565), (1058476, 866570), (1058476, 866575), (1058471, 866629), (1058471, 866636), (1058463, 866731), (1058461, 866736), (1058460, 866738), (1058456, 866742), (1058447, 866750), (1058434, 866762), (1058437, 866762), (1058524, 866774), (1058605, 866785), (1058634, 866789), (1058724, 866801), (1058800, 866811), (1058835, 866815), (1058890, 866825), (1058931, 866830), (1059015, 866841), (1059116, 866854), (1059150, 866647), (1059158, 866623), (1059173, 866519), (1059195, 866373), (1059220, 866197), (1059173, 866190), (1059100, 866179), (1059090, 866179)]","['BARRIO BUENOS AIRES', 'BARRIO CIUDAD CAPRI', 'BARRIO COLINAS DEL SUR', 'BARRIO CUARTELES NAPOLES', 'BARRIO EL GRAN LIMONAR', 'BARRIO FARALLONES', 'BARRIO FRANCISCO ELADIO RAMIREZ', 'BARRIO MAYAPAN LAS VEGAS', 'BARRIO NAPOLES']"
BARRIO ALFONSO BARBERENA,1195.0,1.0,"[(1063282, 871775), (1063283, 871772), (1063298, 871717), (1063299, 871711), (1063301, 871706), (1063312, 871663), (1063315, 871652), (1063325, 871612), (1063327, 871602), (1063329, 871596), (1063334, 871576), (1063343, 871544), (1063345, 871535), (1063349, 871523), (1063359, 871485), (1063367, 871462), (1063369, 871452), (1063383, 871400), (1063371, 871397), (1063350, 871392), (1063334, 871388), (1063315, 871383), (1063304, 871380), (1063235, 871362), (1063203, 871354), (1063193, 871352), (1063179, 871348), (1063142, 871338), (1063132, 871331), (1063125, 871339), (1063091, 871374), (1063074, 871391), (1062991, 871476), (1062973, 871494), (1062960, 871544), (1062956, 871561), (1062944, 871609), (1062941, 871618), (1062941, 871619), (1062939, 871627), (1062926, 871675), (1062924, 871685), (1062936, 871688), (1063085, 871726), (1063068, 871786), (1063266, 871837), (1063267, 871835), (1063269, 871828), (1063282, 871778), (1063282, 871775)]","['BARRIO 20 DE JULIO', 'BARRIO EL PARAISO', 'BARRIO EL RODEO', 'BARRIO SANTA MONICA POPULAR', 'BARRIO VILLANUEVA']"
