BARRIO,GIS,Clientes,Dia
12 DE OCTUBRE,BARRIO 12 DE OCTUBRE,860,1
20 DE JULIO,BARRIO 20 DE JULIO,575,1
3 DE JULIO,BARRIO 3 DE JULIO,495,3
ACUEDUCTO SAN ANTONIO,BARRIO ACUEDUCTO SAN ANTONIO,3,2
AGUABLANCA,BARRIO AGUABLANCA,1344,7
ALAMEDA,BARRIO ALAMEDA,997,3
ALFEREZ REAL,BARRIO ALFEREZ REAL CAMILO TORRES,1679,4
ALFONSO BARBERENA A.,BARRIO ALFONSO BARBERENA,1195,1
ALFONSO BONILLA ARAGON,BARRIO ALFONSO BONILLA ARAGON,5657,13
ALFONSO LOPEZ 1 ETAPA,BARRIO ALFONSO LOPEZ ETAPA I,3127,13
ALIRIO MORA BELTRAN,BARRIO ALIRIO MORA BELTRAN,3371,10
ARANJUEZ,BARRIO ARANJUEZ,680,3
ARBOLEDAS,BARRIO ARBOLEDA,1186,2
ASTURIAS,BARRIO ASTURIAS,1135,1
ATANACIO GIRARDOT,BARRIO ATANASIO GIRADOT,1833,9
BARRIO AGUACATAL,BARRIO AGUACATAL,2626,7
BARRIO ALTO NAPOLES,BARRIO ALTO NAPOLES,2566,4
BARRIO ALTOS DE MENGA,BARRIO ALTOS DE MENGA,368,7
BARRIO ALTOS DE SANTA ISABEL LA MORELIA,BARRIO ALTOS DE SANTA ISABEL LA MORELIA,536,2
BARRIO ANTONIO NARI„O,BARRIO ANTONIO NARI_O,5088,5
BARRIO BELLAVISTA,BARRIO BELLAVISTA,1567,2
BARRIO BRETA„A,BARRIO BRETA_A,1763,3
BARRIO CA„AVERAL,BARRIO CA_AVERAL,329,4
BARRIO CA„AVERALES LOS SAMANES,BARRIO CA_AVERALES LOS SAMANES,3660,4
BARRIO CIUDAD CHIPICHAPE,BARRIO CIUDAD CHIPICHAPE,1060,7
BARRIO CIUDAD CORDOBA,BARRIO CIUDAD CORDOBA,7729,6
BARRIO CIUDADELA PASOANCHO,BARRIO CIUDADELA PASOANCHO,398,4
BARRIO CRISTOBAL COLON,BARRIO CRISTOBAL COLON,2914,9
BARRIO DEPARTAMENTAL,BARRIO DEPARTAMENTAL,1675,9
BARRIO EL BOSQUE,BARRIO EL BOSQUE,1032,7
BARRIO EL CANEY,BARRIO EL CANEY,7140,1
BARRIO EL GUABAL,BARRIO EL GUABAL,3658,9
BARRIO EL LIDO,BARRIO EL LIDO,1734,2
BARRIO EL MORICHAL,BARRIO EL MORICHAL,10310,6
BARRIO EL POBLADO I,BARRIO EL POBLADO I,3336,5
BARRIO FLORA INDUSTRIAL,BARRIO FLORA INDUSTRIAL,455,11
BARRIO GUAYAQUIL,BARRIO GUAYAQUIL,2240,3
BARRIO LA ALBORADA,BARRIO LA ALBORADA,808,1
BARRIO LA FLORESTA,BARRIO LA FLORESTA,1336,9
BARRIO LLERAS CAMARGO,BARRIO LLERAS CAMARGO,1634,2
BARRIO LOS CHORROS,BARRIO LOS CHORROS,1078,4
BARRIO MANZANARES,BARRIO MANZANARES,562,8
BARRIO MENGA,BARRIO MENGA,197,7
BARRIO MUNICIPAL,BARRIO MUNICIPAL,750,9
BARRIO PAMPA LINDA,BARRIO PAMPA LINDA,1331,4
BARRIO PARCELACIONES MONACO-LA SULTANA,BARRIO PARCELACIONES MONACO-LA SULTANA,227,2
BARRIO PUERTAS DEL SOL,BARRIO PUERTAS DEL SOL,1344,10
