NOMBRE,X,Y
BARRIO 12 DE OCTUBRE,1063826,871089
BARRIO 12 DE OCTUBRE,1063841,871081
BARRIO 12 DE OCTUBRE,1063901,871051
BARRIO 12 DE OCTUBRE,1063954,871024
BARRIO 12 DE OCTUBRE,1063984,871009
BARRIO 12 DE OCTUBRE,1064070,870964
BARRIO 12 DE OCTUBRE,1064042,870911
BARRIO 12 DE OCTUBRE,1064019,870865
BARRIO 12 DE OCTUBRE,1063994,870818
BARRIO 12 DE OCTUBRE,1063988,870806
BARRIO 12 DE OCTUBRE,1063925,870683
BARRIO 12 DE OCTUBRE,1063922,870678
BARRIO 12 DE OCTUBRE,1063927,870676
BARRIO 12 DE OCTUBRE,1063934,870671
BARRIO 12 DE OCTUBRE,1063937,870669
BARRIO 12 DE OCTUBRE,1063935,870667
BARRIO 12 DE OCTUBRE,1063917,870645
BARRIO 12 DE OCTUBRE,1063905,870632
BARRIO 12 DE OCTUBRE,1063900,870626
BARRIO 12 DE OCTUBRE,1063887,870612
BARRIO 12 DE OCTUBRE,1063884,870608
BARRIO 12 DE OCTUBRE,1063864,870584
BARRIO 12 DE OCTUBRE,1063847,870565
BARRIO 12 DE OCTUBRE,1063800,870514
BARRIO 12 DE OCTUBRE,1063790,870524
BARRIO 12 DE OCTUBRE,1063769,870550
BARRIO 12 DE OCTUBRE,1063746,870575
BARRIO 12 DE OCTUBRE,1063733,870596
BARRIO 12 DE OCTUBRE,1063709,870621
BARRIO 12 DE OCTUBRE,1063666,870666
BARRIO 12 DE OCTUBRE,1063651,870679
BARRIO 12 DE OCTUBRE,1063627,870704
BARRIO 12 DE OCTUBRE,1063633,870716
BARRIO 12 DE OCTUBRE,1063643,870735
BARRIO 12 DE OCTUBRE,1063665,870776
BARRIO 12 DE OCTUBRE,1063685,870815
BARRIO 12 DE OCTUBRE,1063708,870859
BARRIO 12 DE OCTUBRE,1063744,870930
BARRIO 12 DE OCTUBRE,1063751,870944
BARRIO 12 DE OCTUBRE,1063773,870985
BARRIO 12 DE OCTUBRE,1063793,871025
BARRIO 12 DE OCTUBRE,1063819,871076
BARRIO 12 DE OCTUBRE,1063825,871089
BARRIO 12 DE OCTUBRE,1063826,871089
BARRIO 20 DE JULIO,1062733,871782
BARRIO 20 DE JULIO,1062798,871701
BARRIO 20 DE JULIO,1062821,871661
BARRIO 20 DE JULIO,1062833,871645
BARRIO 20 DE JULIO,1062837,871641
BARRIO 20 DE JULIO,1062854,871618
BARRIO 20 DE JULIO,1062866,871604
BARRIO 20 DE JULIO,1062915,871555
BARRIO 20 DE JULIO,1062974,871494
BARRIO 20 DE JULIO,1062879,871376
BARRIO 20 DE JULIO,1062863,871388
BARRIO 20 DE JULIO,1062837,871407
BARRIO 20 DE JULIO,1062825,871416
BARRIO 20 DE JULIO,1062811,871428
